year,sector_crf,category_crf,activity_crf,pollutant,co2_eq
2015,CRF 5 Residuos,5.D. Tratamiento y eliminación de aguas residuales,5D2 Aguas residuales industriales,CH4,97.974958984
2015,CRF 5 Residuos,5.E. Otros,5E1 Esparcimiento de lodos,CH4,0.0767137
2016,CRF 1 Energía,1.A. Actividades de combustión,1A1a Producción de energía y calor en plantas de servicio público,CH4,0.085826896
2016,CRF 1 Energía,1.A. Actividades de combustión,1A1a Producción de energía y calor en plantas de servicio público,CO2,162.5288820082
2016,CRF 1 Energía,1.A. Actividades de combustión,1A1a Producción de energía y calor en plantas de servicio público,N2O,3.6578748871
2016,CRF 1 Energía,1.A. Actividades de combustión,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,CH4,3.7876608438
2016,CRF 1 Energía,1.A. Actividades de combustión,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,CO2,77.6741017977
2016,CRF 1 Energía,1.A. Actividades de combustión,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,N2O,0.2076056547
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2a Hierro y acero,N2O,0.0461060515
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2a Hierro y acero,CH4,0.1338883588
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2a Hierro y acero,CO2,29.3788113665
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2b Metales no ferrosos,N2O,0.00451878
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2b Metales no ferrosos,CH4,0.04936512
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2b Metales no ferrosos,CO2,4.138149
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2c Productos químicos,CH4,32.953050088
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2c Productos químicos,CO2,675.143428
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2c Productos químicos,N2O,1.72877838
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A2d Pasta de papel, papel e impresión",CH4,3.946969236
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A2d Pasta de papel, papel e impresión",CO2,236.9420329605
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A2d Pasta de papel, papel e impresión",N2O,0.242426293
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A2e  Procesado de alimentos, bebidas y tabaco",CO2,439.806814
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A2e  Procesado de alimentos, bebidas y tabaco",N2O,2.675978215
2016,CRF 1 Energía,1.A. Actividades de combustión,"1A2e  Procesado de alimentos, bebidas y tabaco",CH4,18.541952464
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2f Minerales no metálicos,CO2,372.7809173016
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2f Minerales no metálicos,N2O,1.2205650185
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2f Minerales no metálicos,CH4,2.7418236441
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2g Otros sectores,CH4,28.5162373632
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2g Otros sectores,CO2,655.2446205304
2016,CRF 1 Energía,1.A. Actividades de combustión,1A2g Otros sectores,N2O,4.2015233698
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3a Transporte aéreo civil,CH4,0.2582865103
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3a Transporte aéreo civil,CO2,646.759659743
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3a Transporte aéreo civil,N2O,4.6576538972
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3b Transporte rodado,CH4,18.106429152
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3b Transporte rodado,CO2,10520.421584
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3b Transporte rodado,N2O,92.142269935
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3c Transporte por ferrocarril,CH4,0.02446948
2016,CRF 1 Energía,1.A. Actividades de combustión,1A3c Transporte por ferrocarril,CO2,15.604461
