year,emission_concept,tons_pst
2007,Emisión de partículas en suspensión en el transporte por carretera,4179
2007,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,474
2007,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,433
2007,Emisión de partículas en suspensión en agricultura,991
2007,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2007,Total emisión de partículas en suspensión,22677
2007,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,57
2007,Emisión de partículas en suspensión en plantas de combustión no industrial,2049
2007,Emisión de partículas en suspensión en plantas de combustión industrial,1031
2007,Emisión de partículas en suspensión en procesos industriales sin combustión,12804
2007,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),124
2008,Emisión de partículas en suspensión en el uso de disolventes y otros productos,502
2008,Emisión de partículas en suspensión en el transporte por carretera,3794
2008,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,482
2008,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,390
2008,Emisión de partículas en suspensión en agricultura,1030
2008,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2008,Total emisión de partículas en suspensión,16522
2008,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,53
2008,Emisión de partículas en suspensión en plantas de combustión no industrial,2025
2008,Emisión de partículas en suspensión en plantas de combustión industrial,965
2008,Emisión de partículas en suspensión en procesos industriales sin combustión,7211
2008,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),71
2009,Emisión de partículas en suspensión en el uso de disolventes y otros productos,548
2009,Emisión de partículas en suspensión en el transporte por carretera,3581
2009,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,451
2009,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,283
2009,Emisión de partículas en suspensión en agricultura,936
2009,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2009,Total emisión de partículas en suspensión,13511
2009,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,134
2009,Emisión de partículas en suspensión en plantas de combustión no industrial,2196
2009,Emisión de partículas en suspensión en plantas de combustión industrial,794
2009,Emisión de partículas en suspensión en procesos industriales sin combustión,4517
2009,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),73
2010,Emisión de partículas en suspensión en el uso de disolventes y otros productos,367
2010,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2010,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),22
2010,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,441
2010,Emisión de partículas en suspensión en el transporte por carretera,3432
2010,Emisión de partículas en suspensión en plantas de combustión industrial,680
2010,Emisión de partículas en suspensión en agricultura,980
2010,Emisión de partículas en suspensión en procesos industriales sin combustión,3477
2010,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,113
2010,Emisión de partículas en suspensión en plantas de combustión no industrial,2066
2010,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,312
2010,Total emisión de partículas en suspensión,11890
2011,Emisión de partículas en suspensión en el transporte por carretera,3452
2011,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),76
2011,Emisión de partículas en suspensión en plantas de combustión industrial,735
2011,Emisión de partículas en suspensión en agricultura,909
2011,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2011,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,391
2011,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,436
2011,Total emisión de partículas en suspensión,15051
2011,Emisión de partículas en suspensión en el uso de disolventes y otros productos,574
2011,Emisión de partículas en suspensión en plantas de combustión no industrial,1892
2011,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,114
2011,Emisión de partículas en suspensión en procesos industriales sin combustión,6472
2012,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,121
2012,Total emisión de partículas en suspensión,14177
2012,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),694
2012,Emisión de partículas en suspensión en agricultura,786
2012,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,383
2012,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,396
2012,Emisión de partículas en suspensión en el transporte por carretera,3241
2012,Emisión de partículas en suspensión en el uso de disolventes y otros productos,248
2012,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2012,Emisión de partículas en suspensión en procesos industriales sin combustión,5763
2012,Emisión de partículas en suspensión en plantas de combustión industrial,767
2012,Emisión de partículas en suspensión en plantas de combustión no industrial,1780
2013,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),406
2013,Emisión de partículas en suspensión en agricultura,827
2013,Emisión de partículas en suspensión en el uso de disolventes y otros productos,371
2013,Emisión de partículas en suspensión en plantas de combustión industrial,538
2013,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,392
2013,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,114
2013,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2013,Emisión de partículas en suspensión en procesos industriales sin combustión,3494
2013,Emisión de partículas en suspensión en plantas de combustión no industrial,1876
2013,Emisión de partículas en suspensión en el transporte por carretera,3225
2013,Total emisión de partículas en suspensión,11579
2013,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,338
2014,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2014,Emisión de partículas en suspensión en el uso de disolventes y otros productos,370
2014,Emisión de partículas en suspensión en el transporte por carretera,2989
2014,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,323
2014,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,252
2014,Emisión de partículas en suspensión en agricultura,794
2014,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),78
2014,Total emisión de partículas en suspensión,10286
2014,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,108
2014,Emisión de partículas en suspensión en plantas de combustión no industrial,1674
2014,Emisión de partículas en suspensión en plantas de combustión industrial,339
2014,Emisión de partículas en suspensión en procesos industriales sin combustión,3359
2015,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),127
2015,Emisión de partículas en suspensión en agricultura,788
2015,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,306
2015,Emisión de partículas en suspensión en plantas de combustión no industrial,1495
2015,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2015,Emisión de partículas en suspensión en plantas de combustión industrial,603
2015,Emisión de partículas en suspensión en el transporte por carretera,3013
2015,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,340
2015,Emisión de partículas en suspensión en procesos industriales sin combustión,6186
2015,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,64
2015,Emisión de partículas en suspensión en el uso de disolventes y otros productos,337
2015,Total emisión de partículas en suspensión,13260
2016,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2016,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,2155
2016,Emisión de partículas en suspensión en plantas de combustión no industrial,1388
2016,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,340
2016,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,61
2016,Emisión de partículas en suspensión en el transporte por carretera,2973
2016,Emisión de partículas en suspensión en plantas de combustión industrial,745
2016,Emisión de partículas en suspensión en agricultura,778
2016,Total emisión de partículas en suspensión,11317
2016,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),81
2016,Emisión de partículas en suspensión en procesos industriales sin combustión,2490
2016,Emisión de partículas en suspensión en el uso de disolventes y otros productos,306
2017,Emisión de partículas en suspensión en plantas de combustión no industrial,1441
2017,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),60
2017,Emisión de partículas en suspensión en agricultura,794
2017,Emisión de partículas en suspensión en procesos industriales sin combustión,3363
2017,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,275
2017,Emisión de partículas en suspensión en plantas de combustión industrial,803
2017,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2017,Emisión de partículas en suspensión en el transporte por carretera,2986
2017,Total emisión de partículas en suspensión,10446
2017,Emisión de partículas en suspensión en el uso de disolventes y otros productos,315
2017,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,72
2017,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,336
2018,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,62
2018,Total emisión de partículas en suspensión,10847
2018,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),20
2018,Emisión de partículas en suspensión en agricultura,793
2018,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,301
2018,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,367
2018,Emisión de partículas en suspensión en el transporte por carretera,3036
2018,Emisión de partículas en suspensión en el uso de disolventes y otros productos,361
2018,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2018,Emisión de partículas en suspensión en procesos industriales sin combustión,3686
2018,Emisión de partículas en suspensión en plantas de combustión industrial,796
2018,Emisión de partículas en suspensión en plantas de combustión no industrial,1425
2019,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2019,Emisión de partículas en suspensión en plantas de combustión no industrial,1342
2019,Emisión de partículas en suspensión en agricultura,787
2019,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,446
2019,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,392
2019,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,74
2019,Emisión de partículas en suspensión en plantas de combustión industrial,944
2019,Emisión de partículas en suspensión en el transporte por carretera,2928
2019,Emisión de partículas en suspensión en el uso de disolventes y otros productos,342
2019,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),901
2019,Total emisión de partículas en suspensión,13463
2019,Emisión de partículas en suspensión en procesos industriales sin combustión,5307
2020,Emisión de partículas en suspensión en agricultura,815
2020,Emisión de partículas en suspensión en procesos industriales sin combustión,3904
2020,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,410
2020,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,62
2020,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,169
2020,Total emisión de partículas en suspensión,10344
2020,Emisión de partículas en suspensión en el transporte por carretera,2292
2020,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),403
2020,Emisión de partículas en suspensión en el uso de disolventes y otros productos,270
2020,Emisión de partículas en suspensión en plantas de combustión no industrial,1206
