id;lugar_infr;utm_x;utm_y
107;CAMINO DE GANAPANES SN;439288.52;4481004.9
108;C DR RAMON CASTROVIEJO 25;439340.36;4481167.1
109;AV BETANZOS 69;439581.63;4481223
110;C GINZO DE LIMIA 43;440249.41;4481392.24
111;C FINISTERRE 31;440410.28;4481326.46
112;PO CASTELLANA 167 C1;441533.97;4479260.97
113;PO CASTELLANA 167 C2;441533.97;4479260.97
114;PO CASTELLANA 105 C1;441467.09;4478427.28
115;PO CASTELLANA 105 C2;441467.09;4478427.28
116;PO RECOLETOS 20 C1;441379.61;4474984.96
117;PO RECOLETOS 20 C2;441379.61;4474984.96
118;PO RECOLETOS 31;441369.47;4474989.59
119;C VELAZQUEZ 70 C1;441998.33;4475599.9
120;C VELAZQUEZ 70 C2;441998.33;4475599.9
121;C MONFORTE DE LEMOS 85 C1;440481.11;4481257.96
122;C MONFORTE DE LEMOS 85 C2;440481.11;4481257.96
123;C SERRANO 127 C1;441829.23;4477070.51
124;C SERRANO 127 C2;441829.23;4477070.51
125;C FRANCISCO SILVELA 67 C1;442722.81;4476293.89
126;C FRANCISCO SILVELA 67 C2;442722.81;4476293.89
127;C PRINCIPE DE VERGARA 135 C1;442464.38;4477301.14
128;C PRINCIPE DE VERGARA 135 C2;442464.38;4477301.14
129;C PRINCIPE DE VERGARA 136 C1;442470.77;4477271.56
130;C PRINCIPE DE VERGARA 136 C2;442470.77;4477271.56
131;C ALBERTO ALCOCER 43 C1;442311.17;4478891.27
132;C ALBERTO ALCOCER 43 C2;442311.17;4478891.27
133;C ALBERTO ALCOCER 44 C1;442288.66;4478874.46
134;C ALBERTO ALCOCER 44 C2;442288.66;4478874.46
135;AV ALFONSO XII 44;443405.9;4478163.89
136;AV ALFONSO XII 43;443403.88;4478192.01
137;AV PIO XII 46;442902.48;4479976.95
138;C MATEO INURRIA 26;442095.4;4479849.8
139;C MATEO INURRIA 27;442111.45;4479857.68
140;C ODONNELL 25;442536.12;4474778.42
141;C ODONNELL 12;442515.03;4474771.92
142;C DOCTOR ESQUERDO 111 C1;443200.7;4473954.57
143;C DOCTOR ESQUERDO 111 C2;443200.7;4473954.57
144;C DOCTOR ESQUERDO 62 C1;443192.78;4474073.63
145;C DOCTOR ESQUERDO 62 C2;443192.78;4474073.63
146;AV MENENDEZ PELAYO 65 C1;442538.7;4473984.81
147;AV MENENDEZ PELAYO 65 C2;442538.7;4473984.81
148;PO VIRGEN DEL PUERTO 4;438849.4;4474137.77
149;AV CIUDAD DE BARCELONA 138;442324.01;4472791.04
150;C MENDEZ ALVARO 51 C1;441989.36;4472235.48
151;C MENDEZ ALVARO 51 C2;441989.36;4472235.48
152;C MENDEZ ALVARO 44 C1;441962.01;4472244.69
153;C MENDEZ ALVARO 44 C2;441962.01;4472244.69
154;PO DELICIAS 34 C1;441147.58;4472834.04
155;PO DELICIAS 34 C2;441147.58;4472834.04
156;C EMBAJADORES 151;440932.89;4471961.66
157;C EMBAJADORES 160;440902.39;4472000.86
158;C ALCALA 104;442801.56;4475190.11
159;C ALCALA 161;442837.71;4475224.2
160;C BRAVO MURILLO 200;440464.82;4478632.86
161;C BRAVO MURILLO 217;440461.27;4478655.2
162;C OFELIA NIETO 23;439783.87;4478997.98
163;C OFELIA NIETO 20;439790.22;4478986.61
164;C RAIMUNDO F VILLAVERDE 47 C1;440899.9;4477560.09
165;C RAIMUNDO F VILLAVERDE 47 C2;440899.9;4477560.09
166;C RAIMUNDO F VILLAVERDE 44 C1;440867.65;4477546.58
167;C RAIMUNDO F VILLAVERDE 44 C2;440867.65;4477546.58
168;C ALBERTO AGUILERA 30;439723.11;4475746.07
