district_id,expected_saving_kg,expected_capex_eur,tech,saving_per_eur
1,34907492.776733376,22226375.616614256,air_source_hp,1.5705436360321365
2,16471214.497584466,11937476.281058868,air_source_hp,1.3797903434345882
3,20744844.330332767,13580553.279877765,air_source_hp,1.5275404398339423
4,17676959.707650837,12753655.899556521,air_source_hp,1.3860307857502656
5,62459714.08668239,41444476.09315589,air_source_hp,1.5070696984150544
6,40951526.41005482,26896388.008986793,air_source_hp,1.5225660187669747
7,13865974.05859044,10085515.689422194,air_source_hp,1.374840363704281
8,30262183.22306197,21072937.686402798,air_source_hp,1.4360685573795668
9,104794780.5007869,77553476.4289004,air_source_hp,1.3512583229826043
10,31113666.354161777,19945383.828492463,air_source_hp,1.5599432240414022
11,40356536.05677454,26249735.398789752,air_source_hp,1.5374073469188259
12,27833072.10157811,17997491.30485449,air_source_hp,1.5464973217723212
13,24722015.911732197,15434420.801363021,air_source_hp,1.6017456197351432
14,10231429.8928205,6510575.249300803,air_source_hp,1.5715093522525978
15,29473143.06664739,20078333.339182388,air_source_hp,1.4679078471683333
16,54779495.86431464,41592387.90051522,air_source_hp,1.3170558034643658
17,9528167.922845708,6395250.11422588,air_source_hp,1.4898819831378958
18,13115477.103610238,10121628.560722198,air_source_hp,1.2957872367008123
19,4443860.63054447,2367343.3701783735,air_source_hp,1.8771508546348457
20,15783727.449317869,11996420.218118653,air_source_hp,1.3157031149575023
21,8570296.35409876,6388662.093829217,air_source_hp,1.3414853107314557
1,38461402.11354177,47416267.98211041,district_heating,0.8111435958657226
2,18379660.93084995,25466616.06625892,district_heating,0.7217158684542083
3,22917732.849664427,28971846.997072566,district_heating,0.7910345809840887
4,19717509.066919908,27207799.252387244,district_heating,0.7247006229358984
5,69088031.61361575,88414882.3320659,district_heating,0.781407267547301
6,45252940.86492247,57378961.08583849,district_heating,0.7886678323998306
7,15479656.56887621,21515766.80410068,district_heating,0.7194564204853693
8,33623658.424750194,44955600.3976593,district_heating,0.7479303607855023
9,117198358.6698922,165447416.38165423,district_heating,0.7083722504287341
10,34303974.8167091,42550152.167450584,district_heating,0.8062009903445297
11,44556345.61307597,55999435.51741814,district_heating,0.7956570490646662
12,30711332.865728337,38394648.11702291,district_heating,0.7998857750206064
13,27190494.12450295,32926764.37624111,district_heating,0.8257870045719625
14,11268223.026156003,13889227.198508378,district_heating,0.811292296188095
15,32647753.227134112,42833777.790255755,district_heating,0.7621964466221128
16,61424050.55112291,88730427.52109914,district_heating,0.692254644400501
17,10549212.909733579,13643200.243681878,district_heating,0.7732212912889617
18,14732281.926283294,21592807.596207358,district_heating,0.6822772749973898
19,4822330.805517764,5050332.523047197,district_heating,0.9548541177261206
20,17691843.782342386,25592363.131986458,district_heating,0.691293871187313
21,9591413.459603727,13629145.800168997,district_heating,0.7037428170652336
1,13871568.863373516,39513556.65175866,gas_boiler,0.35105847306094434
2,5572611.56603789,21222180.055215765,gas_boiler,0.26258431280571065
3,7961787.865384352,24143205.830893803,gas_boiler,0.3297734327889628
4,5749091.903047123,22673166.043656036,gas_boiler,0.25356370133652867
5,23773480.325713042,73679068.61005491,gas_boiler,0.32266260654750867
6,15717135.101858925,47815800.90486541,gas_boiler,0.32870170120395614
7,4392561.120362974,17929805.670083903,gas_boiler,0.24498654370203327
8,10855773.725614315,37463000.33138275,gas_boiler,0.2897732063526272
9,31076043.504607577,137872846.98471186,gas_boiler,0.22539640099006203
10,12262831.94801435,35458460.139542155,gas_boiler,0.3458365619870567
11,15468671.170432623,46666196.26451511,gas_boiler,0.33147486636263457
12,10802089.829879541,31995540.097519092,gas_boiler,0.3376123608776689
13,10014081.177022854,27438970.31353426,gas_boiler,0.3649583443764802
14,4014172.601045724,11574355.998756982,gas_boiler,0.34681606488316263
15,11000234.784380123,35694814.825213134,gas_boiler,0.3081745860917053
16,16087408.025628222,73942022.93424927,gas_boiler,0.21756786448665963
17,3667490.8377862745,11369333.536401564,gas_boiler,0.32257746912287777
18,4519470.65213938,17994006.330172796,gas_boiler,0.25116533634652666
19,2205091.583689998,4208610.435872664,gas_boiler,0.5239476585655445
20,5083901.873119147,21326969.276655383,gas_boiler,0.2383790123749094
21,2711235.4459898197,11357621.50014083,gas_boiler,0.23871507304202744
1,29000579.04235212,69729805.85604472,biomass_boiler,0.4158993229125436
2,13312136.019077815,37450905.97979253,biomass_boiler,0.35545564708796834
3,17123801.81853512,42605657.34863613,biomass_boiler,0.40191380403812216
4,14287539.355312742,40011469.48880477,biomass_boiler,0.3570860940088792
5,51459472.619684964,130021885.78244984,biomass_boiler,0.39577546741466263
6,33812626.584855415,84380825.12623307,biomass_boiler,0.400714576259144
7,11179494.18940923,31640833.535442177,biomass_boiler,0.35332489508807113
