año;municipio_codigo;municipio_nombre;entidad_codigo;entidad_nombre;fecha_festivo
2025;150;Torrejón de Velasco;00;Torrejón de Velasco;2025-05-15
2025;150;Torrejón de Velasco;00;Torrejón de Velasco;2025-10-10
2025;151;Torrelaguna;00;Torrelaguna;2025-09-01
2025;151;Torrelaguna;00;Torrelaguna;2025-09-02
2025;152;Torrelodones;00;Torrelodones;2025-07-16
2025;152;Torrelodones;00;Torrelodones;2025-08-14
2025;153;Torremocha de Jarama;00;Torremocha de Jarama;2025-05-15
2025;153;Torremocha de Jarama;00;Torremocha de Jarama;2025-05-16
2025;154;Torres de la Alameda;00;Torres de la Alameda;2025-10-06
2025;154;Torres de la Alameda;00;Torres de la Alameda;2025-10-07
2025;903;Tres Cantos;00;Tres Cantos;2025-03-21
2025;903;Tres Cantos;00;Tres Cantos;2025-06-24
2025;155;Valdaracete;00;Valdaracete;2025-05-05
2025;155;Valdaracete;00;Valdaracete;2025-09-15
2025;156;Valdeavero;00;Valdeavero;2025-05-15
2025;156;Valdeavero;00;Valdeavero;2025-09-12
2025;157;Valdelaguna;00;Valdelaguna;2025-04-28
2025;157;Valdelaguna;00;Valdelaguna;2025-07-16
2025;158;Valdemanco;00;Valdemanco;2025-07-16
2025;158;Valdemanco;00;Valdemanco;2025-08-16
2025;159;Valdemaqueda;00;Valdemaqueda;2025-03-05
2025;159;Valdemaqueda;00;Valdemaqueda;2025-08-18
2025;160;Valdemorillo;00;Valdemorillo;2025-02-03
2025;160;Valdemorillo;00;Valdemorillo;2025-09-08
2025;161;Valdemoro;00;Valdemoro;2025-05-05
2025;161;Valdemoro;00;Valdemoro;2025-09-08
2025;162;Valdeolmos-Alalpardo;01;Alalpardo;2025-05-15
2025;162;Valdeolmos-Alalpardo;01;Alalpardo;2025-08-25
2025;162;Valdeolmos-Alalpardo;00;Valdeolmos-Alalpardo;2025-05-15
2025;162;Valdeolmos-Alalpardo;00;Valdeolmos-Alalpardo;2025-08-11
2025;163;Valdepiélagos;00;Valdepiélagos;2025-05-15
2025;163;Valdepiélagos;00;Valdepiélagos;2025-05-16
2025;164;Valdetorres de Jarama;00;Valdetorres de Jarama;2025-05-05
2025;164;Valdetorres de Jarama;00;Valdetorres de Jarama;2025-09-15
2025;165;Valdilecha;00;Valdilecha;2025-09-08
2025;165;Valdilecha;00;Valdilecha;2025-11-11
2025;166;Valverde de Alcalá;00;Valverde de Alcalá;2025-05-15
2025;166;Valverde de Alcalá;00;Valverde de Alcalá;2025-09-05
2025;167;Velilla de San Antonio;00;Velilla de San Antonio;2025-09-29
2025;167;Velilla de San Antonio;00;Velilla de San Antonio;2025-09-30
2025;169;Venturada;00;Venturada;2025-05-15
2025;169;Venturada;00;Venturada;2025-06-24
2025;171;Villa del Prado;00;Villa del Prado;2025-04-21
2025;171;Villa del Prado;00;Villa del Prado;2025-09-08
2025;170;Villaconejos;00;Villaconejos;2025-05-05
2025;170;Villaconejos;00;Villaconejos;2025-05-15
2025;172;Villalbilla;00;Villalbilla;2025-09-25
2025;172;Villalbilla;00;Villalbilla;2025-09-26
2025;173;Villamanrique de Tajo;00;Villamanrique de Tajo;2025-04-25
2025;173;Villamanrique de Tajo;00;Villamanrique de Tajo;2025-09-12
2025;174;Villamanta;00;Villamanta;2025-01-31
2025;174;Villamanta;00;Villamanta;2025-05-23
2025;175;Villamantilla;00;Villamantilla;2025-09-29
2025;175;Villamantilla;00;Villamantilla;2025-12-30
