Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2020;Consumo de gas natural del grupo 3;Otros;;;17962;
2020;Total consumo de gas natural;Otros;;;23358;
2020;Consumo de gas natural liquado (GNL);Otros;;;254;
2020;Consumo de gas natural del grupo 1;Otros;;;2004;
2021;Consumo de gas natural del grupo 1;Otros;;;2174;
2021;Consumo de gas natural del grupo 4;Otros;;;-;
2021;Total consumo de gas natural;Otros;;;25066;
2021;Consumo de gas natural del grupo 3;Otros;;;19029;
2021;Consumo de gas natural del grupo 2;Otros;;;3559;
2021;Consumo de gas natural liquado (GNL);Otros;;;305;
2022;Consumo de gas natural del grupo 2;Otros;;;3744;
2022;Total consumo de gas natural;Otros;;;22434;
2022;Consumo de gas natural del grupo 4;Otros;;;-;
2022;Consumo de gas natural del grupo 1;Otros;;;1665;
2022;Consumo de gas natural liquado (GNL);Otros;;;283;
2022;Consumo de gas natural del grupo 3;Otros;;;16742;
2023;Consumo de gas natural del grupo 3;Otros;;;16040;
2023;Consumo de gas natural del grupo 2;Otros;;;4261;
2023;Consumo de gas natural del grupo 1;Otros;;;723;
2023;Total consumo de gas natural;Otros;;;21322;
2023;Consumo de gas natural liquado (GNL);Otros;;;297;
2023;Consumo de gas natural del grupo 4;Otros;;;-;
2024;Consumo de gas natural del grupo 4;Otros;;;-;
2024;Consumo de gas natural del grupo 2;Otros;;;4461;
2024;Consumo de gas natural del grupo 1;Otros;;;942;
2024;Total consumo de gas natural;Otros;;;22586;
2024;Consumo de gas natural liquado (GNL);Otros;;;296;
2024;Consumo de gas natural del grupo 3;Otros;;;16887;
