gis_x;gis_y;fecha_alta;distrito;barrio;calle;num_finca;tipo_elemento;codigo;num_puerta;id_camara;longitud;latitud;direccion
439577,8223309330;4474085,0760720700;2018-11-30;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;77;Cámaras;Camara Entrada;38;38.2;-3.7121829;40.4151964;MAYOR, CALLE, 77
439188,4889975990;4473936,4927387400;2018-12-05;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;39;Cámaras;Camara Entrada;39;39 e;-3.7167573;40.4138295;SEGOVIA, CALLE, DE, 39
439451,2806642660;4473837,0760720700;2018-11-30;01  CENTRO;01-01 PALACIO;ANGOSTA DE LOS MANCEBOS, CALLE;8;Cámaras;Camara Entrada;40;40 e;-3.7136507;40.4129531;ANGOSTA DE LOS MANCEBOS, CALLE, 8
439432,9889975990;4473843,3260720700;2018-12-05;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;10;Cámaras;Camara Entrada;41;41 e;-3.7138669;40.4130081;MORERIA, CALLE, DE LA, 10
439426,4056642660;4473769,4927387400;2018-11-30;01  CENTRO;01-01 PALACIO;YESEROS, CALLE, DE LOS;3;Cámaras;Camara Entrada;42;42 e;-3.7139374;40.4123424;YESEROS, CALLE, DE LOS, 3
439444,2806642660;4473711,0760720700;2018-11-30;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;16;Cámaras;Camara Entrada;43;43.1 e;-3.7137212;40.4118175;DON PEDRO, CALLE, DE, 16
439442,3223309330;4473711,2427387400;2019-01-15;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;16;Cámaras;Camara Entrada;43;43.2 e;-3.7137443;40.4118188;DON PEDRO, CALLE, DE, 16
439389,9056642660;4473598,9927387400;2018-12-01;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;1;Cámaras;Camara Entrada;44;44 e;-3.7143513;40.4108038;SAN BUENAVENTURA, CALLE, DE, 1
439449,5723309330;4473576,4927387400;2018-11-30;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;15;Cámaras;Camara Entrada;45;45 e;-3.7136461;40.4106055;SAN FRANCISCO, CARRERA, DE, 15
439455,6556642660;4473549,3260720700;2018-12-01;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;42;Cámaras;Camara Entrada;46;46 e;-3.7135717;40.4103612;CALATRAVA, CALLE, DE, 42
439432,8223309330;4473475,6594054000;2018-12-03;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;5;Cámaras;Camara Entrada;47;47 e;-3.7138339;40.4096959;ROSARIO, CALLE, DEL, 5
439510,6556642660;4473383,4510720700;2018-11-30;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;25;Cámaras;Camara Entrada;48;48 e;-3.7129078;40.4088709;AGUILA, CALLE, DEL, 25
439472,2806642660;4473350,3260720700;2018-11-30;01  CENTRO;01-01 PALACIO;VENTOSA, CALLE, DE LA;S/N;Cámaras;Camara Entrada;49;49 e;-3.7133569;40.4085698;VENTOSA, CALLE, DE LA, S/N
439657,9612198220;4473262,7982942900;2018-11-30;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;104;Cámaras;Camara Salida;50;50 s;-3.7111604;40.4077947;TOLEDO, CALLE, DE, 104
439812,0347014720;4473121,5712077000;2018-11-30;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;6;Cámaras;Camara Salida;51;51 s;-3.7093314;40.4065336;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL, 6
439992,9056642660;4473079,6594054000;2019-01-15;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N;Cámaras;Camara Salida;52;52.1 s;-3.7071959;40.4061691;RIBERA DE CURTIDORES, CALLE, DE LA, S/N
439995,7978288620;4473079,5135597500;2018-11-30;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N;Cámaras;Camara Salida;52;52.2 s;-3.7071618;40.406168;RIBERA DE CURTIDORES, CALLE, DE LA, S/N
439998,4056642660;4473080,4927387400;2019-01-15;01  CENTRO;01-02 EMBAJADORES;RIBERA DE CURTIDORES, CALLE, DE LA;S/N;Cámaras;Camara Salida;52;52.3 s;-3.7071312;40.406177;RIBERA DE CURTIDORES, CALLE, DE LA, S/N
440421,3514988780;4473007,8940088800;2018-11-30;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;25;Cámaras;Camara Salida;53;53 s;-3.7021403;40.4055534;MIGUEL SERVET, CALLE, DE, 25
440504,7609423590;4473030,1772828200;2018-12-07;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;85;Cámaras;Camara Salida;54;54 s;-3.7011594;40.4057601;MESON DE PAREDES, CALLE, DEL, 85
440577,4056642660;4473064,4927387400;2018-11-30;01  CENTRO;01-02 EMBAJADORES;AMPARO, CALLE, DE;100;Cámaras;Camara Salida;55;55 s;-3.7003065;40.4060744;AMPARO, CALLE, DE, 100
440780,4889975990;4473140,4094054000;2018-11-30;01  CENTRO;01-02 EMBAJADORES;MALLORCA, CALLE, DE;6;Cámaras;Camara Salida;56;56 s;-3.6979204;40.4067728;MALLORCA, CALLE, DE, 6
440950,2806642660;4473200,5760720700;2018-11-30;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;43;Cámaras;Camara Salida;57;57 s;-3.6959251;40.4073269;ARGUMOSA, CALLE, DE, 43
441224,6556642660;4473418,9510720700;2018-11-30;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;120;Cámaras;Camara Salida;58;58.1 s;-3.6927118;40.4093135;ATOCHA, CALLE, DE, 120
441226,6556642660;4473421,4510720700;2018-11-30;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;120;Cámaras;Camara Salida;58;58.2 s;-3.6926885;40.4093362;ATOCHA, CALLE, DE, 120
441178,9056642660;4473589,8260720700;2018-11-30;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;28;Cámaras;Camara Salida;59;59 s;-3.6932668;40.4108496;ALMADEN, CALLE, DE, 28
441160,9889975990;4473653,9927387400;2018-11-30;01  CENTRO;01-03 CORTES;GOBERNADOR, CALLE, DEL;32;Cámaras;Camara Salida;60;60 s;-3.6934839;40.4114264;GOBERNADOR, CALLE, DEL, 32
441036,7389975990;4474021,8260720700;2018-11-30;01  CENTRO;01-03 CORTES;CERVANTES, CALLE, DE;44;Cámaras;Camara Salida;61;61 s;-3.6949823;40.4147312;CERVANTES, CALLE, DE, 44
441019,9889975990;4474106,2427387400;2018-11-30;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6;Cámaras;Camara Salida;62;62.1 s;-3.6951876;40.4154905;CORTES, PLAZA, DE LAS, 6
441020,9889975990;4474109,5760720700;2018-11-30;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6;Cámaras;Camara Salida;62;62.2 s;-3.6951761;40.4155206;CORTES, PLAZA, DE LAS, 6
441095,4056642660;4474504,4094054000;2018-11-30;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;S/N;Cámaras;Camara Salida;63;63.1 s;-3.6943355;40.4190827;ALCALA, CALLE, DE, S/N
441094,6556642660;4474507,4094054000;2018-11-30;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;S/N;Cámaras;Camara Salida;63;63.2 s;-3.6943446;40.4191097;ALCALA, CALLE, DE, S/N
441093,8223309330;4474510,2427387400;2018-12-01;01  CENTRO;01-03 CORTES;ALCALA, CALLE, DE;51;Cámaras;Camara Salida;63;63.3 s;-3.6943548;40.4191351;ALCALA, CALLE, DE, 51
441254,0723309330;4474881,9094054000;2018-11-30;01  CENTRO;01-04 JUSTICIA;ALMIRANTE, CALLE, DEL;29;Cámaras;Camara Salida;64;64 s;-3.6925003;40.4224946;ALMIRANTE, CALLE, DEL, 29
441273,9612198220;4474977,7982942900;2018-11-30;01  CENTRO;01-04 JUSTICIA;BARBARA DE BRAGANZA, CALLE, DE;14;Cámaras;Camara Salida;65;65 s;-3.6922747;40.4233599;BARBARA DE BRAGANZA, CALLE, DE, 14
441160,5306642660;4475292,7010720700;2018-11-30;01  CENTRO;01-04 JUSTICIA;GENERAL CASTAÑOS, CALLE, DEL;15;Cámaras;Camara Salida;66;66 s;-3.6936409;40.4261886;GENERAL CASTAÑOS, CALLE, DEL, 15
441036,5051724010;4475365,4024057800;2018-12-07;01  CENTRO;01-04 JUSTICIA;CAMPOAMOR, CALLE, DE;17;Cámaras;Camara Salida;67;67 s;-3.6951096;40.4268348;CAMPOAMOR, CALLE, DE, 17
